Firm,Account,Contract,Symbol,Prior Day Net Position,Current Net Position,Prior Day DSP,Current Price USD,Today's DSP,Live P&L USD,Variation Margin
 -> F110,-,-,-,-,-,-,-,-,-,-
 -> F110 -> ACCT1110,ACCT1110,-,-,-,-,-,-,-,-,-
-,-,10X20,XBT/USD,-,-,-,-,-,-,-
-,-,11X20,XBT/USD,-,-,-,-,-,-,-
-,-,12X20,XBT/USD,-,-,-,-,-,-,-
-,-,X20,XBT/USD,3600,3600,14914.5,14785.53,-,-464292,-
-,-,Z20,XBT/USD,-,-,-,-,-,-,-
-,-,F21,XBT/USD,-,-,-,-,-,-,-
 -> MMF02,-,-,-,-,-,-,-,-,-,-
 -> MMF02 -> MMA02,MMA02,-,-,-,-,-,-,-,-,-
-,-,10X20,XBT/USD,-30,-30,13000,12871.03,-,3869.1,-
-,-,11X20,XBT/USD,-,-,-,-,-,-,-
-,-,12X20,XBT/USD,-,-,-,-,-,-,-
-,-,X20,XBT/USD,-10,-10,14914.5,14785.53,-,1289.7,-
-,-,Z20,XBT/USD,-,-,-,-,-,-,-
-,-,F21,XBT/USD,-,-,-,-,-,-,-
 -> F220,-,-,-,-,-,-,-,-,-,-
 -> F220 -> ACCT2220,ACCT2220,-,-,-,-,-,-,-,-,-
-,-,10X20,XBT/USD,-,-,-,-,-,-,-
-,-,11X20,XBT/USD,-,-,-,-,-,-,-
-,-,12X20,XBT/USD,-,-,-,-,-,-,-
-,-,X20,XBT/USD,-3600,-3600,14914.5,14785.53,-,464292,-
-,-,Z20,XBT/USD,-,-,-,-,-,-,-
-,-,F21,XBT/USD,-,-,-,-,-,-,-
 -> TSTFRM1,-,-,-,-,-,-,-,-,-,-
 -> TSTFRM1 -> TSTACC1,TSTACC1,-,-,-,-,-,-,-,-,-
-,-,10X20,XBT/USD,-20,-20,13000,12871.03,-,2579.4,-
-,-,11X20,XBT/USD,-,-,-,-,-,-,-
-,-,12X20,XBT/USD,-,-,-,-,-,-,-
-,-,X20,XBT/USD,-10,-10,14914.5,14785.53,-,1289.7,-
-,-,Z20,XBT/USD,-,-,-,-,-,-,-
-,-,F21,XBT/USD,-,-,-,-,-,-,-
 -> JAMES,-,-,-,-,-,-,-,-,-,-
 -> JAMES -> TSTXBT04,TSTXBT04,-,-,-,-,-,-,-,-,-
-,-,10X20,XBT/USD,20,20,13000,12871.03,-,-2579.4,-
-,-,11X20,XBT/USD,-,-,-,-,-,-,-
-,-,12X20,XBT/USD,-,-,-,-,-,-,-
-,-,X20,XBT/USD,10,10,14914.5,14785.53,-,-1289.7,-
-,-,Z20,XBT/USD,-,-,-,-,-,-,-
-,-,F21,XBT/USD,-,-,-,-,-,-,-
 -> XBTO01,-,-,-,-,-,-,-,-,-,-
 -> XBTO01 -> XBTOACC1,XBTOACC1,-,-,-,-,-,-,-,-,-
-,-,10X20,XBT/USD,-,-,-,-,-,-,-
-,-,11X20,XBT/USD,-,-,-,-,-,-,-
-,-,12X20,XBT/USD,-,-,-,-,-,-,-
-,-,X20,XBT/USD,15,15,14914.5,14785.53,-,-1934.55,-
-,-,Z20,XBT/USD,-,-,-,-,-,-,-
-,-,F21,XBT/USD,-,-,-,-,-,-,-
 -> GLOBUSA,-,-,-,-,-,-,-,-,-,-
 -> GLOBUSA -> GLOBACC1,GLOBACC1,-,-,-,-,-,-,-,-,-
-,-,10X20,XBT/USD,30,30,13000,12871.03,-,-3869.1,-
-,-,11X20,XBT/USD,-,-,-,-,-,-,-
-,-,12X20,XBT/USD,-,-,-,-,-,-,-
-,-,X20,XBT/USD,-5,-5,14914.5,14785.53,-,644.85,-
-,-,Z20,XBT/USD,-,-,-,-,-,-,-
-,-,F21,XBT/USD,-,-,-,-,-,-,-
