Firm,Account,Contract,Symbol,Prior Day Net Position,Current Net Position,Prior Day DSP,Current Price USD,Today's DSP,Live P&L USD,Variation Margin
 -> TSTFRM1,-,-,-,-,-,-,-,-,-,-
 -> TSTFRM1 -> TSTACC1,TSTACC1,-,-,-,-,-,-,-,-,-
-,-,X20,XBT/USD,-10,-10,13047.33,12737.77557,-,3095.544318,233.2185
-,-,Z20,XBT/USD,-,-,13047.33,12737.77557,-,-,-
-,-,F21,XBT/USD,-,-,-,-,-,-,-
 -> MMF02,-,-,-,-,-,-,-,-,-,-
 -> MMF02 -> MMA02,MMA02,-,-,-,-,-,-,-,-,-
-,-,X20,XBT/USD,-,-,13047.33,12737.77557,-,-,-
-,-,Z20,XBT/USD,-,-,-,-,-,-,-
-,-,F21,XBT/USD,-,-,-,-,-,-,-
 -> BRADTR,-,-,-,-,-,-,-,-,-,-
 -> BRADTR -> BRADACC3,BRADACC3,-,-,-,-,-,-,-,-,-
-,-,X20,XBT/USD,-,-,13047.33,12737.77557,-,-,-
-,-,Z20,XBT/USD,-,-,-,-,-,-,-
-,-,F21,XBT/USD,-,-,-,-,-,-,-
 -> JAMES,-,-,-,-,-,-,-,-,-,-
 -> JAMES -> TSTXBT04,TSTXBT04,-,-,-,-,-,-,-,-,-
-,-,X20,XBT/USD,10,10,13047.33,12737.77557,-,-3095.544318,-233.2185
-,-,Z20,XBT/USD,-,-,-,-,-,-,-
-,-,F21,XBT/USD,-,-,-,-,-,-,-
 -> XBTO01,-,-,-,-,-,-,-,-,-,-
 -> XBTO01 -> XBTOACC1,XBTOACC1,-,-,-,-,-,-,-,-,-
-,-,X20,XBT/USD,-,-,13047.33,12737.77557,-,-,-
-,-,Z20,XBT/USD,-,-,-,-,-,-,-
-,-,F21,XBT/USD,-,-,-,-,-,-,-
 -> F110,-,-,-,-,-,-,-,-,-,-
 -> F110 -> ACCT1110,ACCT1110,-,-,-,-,-,-,-,-,-
-,-,X20,XBT/USD,-,-,13047.33,12737.77557,-,-,-
-,-,Z20,XBT/USD,-,-,13047.33,12737.77557,-,-,-
-,-,F21,XBT/USD,-,-,-,-,-,-,-
 -> F220,-,-,-,-,-,-,-,-,-,-
 -> F220 -> ACCT2220,ACCT2220,-,-,-,-,-,-,-,-,-
-,-,X20,XBT/USD,-,-,13047.33,12737.77557,-,-,-
-,-,Z20,XBT/USD,-,-,-,-,-,-,-
-,-,F21,XBT/USD,-,-,-,-,-,-,-
 -> ECOP00,-,-,-,-,-,-,-,-,-,-
 -> ECOP00 -> ACCOUNT1,ACCOUNT1,-,-,-,-,-,-,-,-,-
-,-,X20,XBT/USD,-,-,13047.33,12737.77557,-,-,-
-,-,Z20,XBT/USD,-,-,-,-,-,-,-
-,-,F21,XBT/USD,-,-,-,-,-,-,-
 -> BLKFILLS,-,-,-,-,-,-,-,-,-,-
 -> BLKFILLS -> BLKFILLS,BLKFILLS,-,-,-,-,-,-,-,-,-
-,-,X20,XBT/USD,-,-,13047.33,12737.77557,-,-,-
-,-,Z20,XBT/USD,-,-,-,-,-,-,-
-,-,F21,XBT/USD,-,-,-,-,-,-,-
 -> MMF10,-,-,-,-,-,-,-,-,-,-
 -> MMF10 -> MMA10,MMA10,-,-,-,-,-,-,-,-,-
-,-,X20,XBT/USD,-,-,13047.33,12737.77557,-,-,-
-,-,Z20,XBT/USD,-,-,13047.33,12737.77557,-,-,-
-,-,F21,XBT/USD,-,-,-,-,-,-,-
