Firm,Account,Contract,Symbol,Prior Day Net Position,Current Net Position,Prior Day DSP,Current Price USD,Today's DSP,Live P&L USD,Variation Margin
 -> BLKFILLS,-,-,-,-,-,-,-,-,-,-
 -> BLKFILLS -> BLKFILLS,BLKFILLS,-,-,-,-,-,-,-,-,-
-,-,V20,XBT/USD,100,-,7907.46,8900,-,99254,-
-,-,X20,XBT/USD,-,-,7907.91,-,-,-,-
-,-,Z20,XBT/USD,-,-,7915.29,-,-,-,-
 -> TSTFRM1,-,-,-,-,-,-,-,-,-,-
 -> TSTFRM1 -> TSTACC1,TSTACC1,-,-,-,-,-,-,-,-,-
-,-,V20,XBT/USD,-95,5,7907.46,8900,-,-94291.3,-
-,-,X20,XBT/USD,-,-,7907.91,-,-,-,-
-,-,Z20,XBT/USD,-,-,7915.29,-,-,-,-
 -> MMF02,-,-,-,-,-,-,-,-,-,-
 -> MMF02 -> MMA02,MMA02,-,-,-,-,-,-,-,-,-
-,-,V20,XBT/USD,-,-,7907.46,8900,-,-,-
-,-,X20,XBT/USD,-65,-65,7907.91,-,-,-,-
 -> BRADTR,-,-,-,-,-,-,-,-,-,-
 -> BRADTR -> BRADACC3,BRADACC3,-,-,-,-,-,-,-,-,-
-,-,V20,XBT/USD,-400,-400,7907.46,8900,-,-397016,-
-,-,X20,XBT/USD,400,400,7907.91,-,-,-,-
 -> JAMES,-,-,-,-,-,-,-,-,-,-
 -> JAMES -> TSTXBT04,TSTXBT04,-,-,-,-,-,-,-,-,-
-,-,V20,XBT/USD,10,10,7907.46,8900,-,9925.4,-
-,-,X20,XBT/USD,30,30,7907.91,-,-,-,-
 -> MMF10,-,-,-,-,-,-,-,-,-,-
 -> MMF10 -> MMA10,MMA10,-,-,-,-,-,-,-,-,-
-,-,V20,XBT/USD,-35,-35,7907.46,8900,-,-34738.9,-
-,-,X20,XBT/USD,-325,-325,7907.91,-,-,-,-
-,-,Z20,XBT/USD,115,115,7915.29,-,-,-,-
 -> XBTO01,-,-,-,-,-,-,-,-,-,-
 -> XBTO01 -> XBTOACC1,XBTOACC1,-,-,-,-,-,-,-,-,-
-,-,V20,XBT/USD,-,-,7907.46,8900,-,-,-
-,-,X20,XBT/USD,-,-,7907.91,-,-,-,-
-,-,Z20,XBT/USD,-,-,7915.29,-,-,-,-
 -> F110,-,-,-,-,-,-,-,-,-,-
 -> F110 -> ACCT1110,ACCT1110,-,-,-,-,-,-,-,-,-
-,-,V20,XBT/USD,120,120,7907.46,8900,-,119104.8,-
-,-,X20,XBT/USD,-40,-40,7907.91,-,-,-,-
-,-,Z20,XBT/USD,-115,-115,7915.29,-,-,-,-
 -> GLOBUSA,-,-,-,-,-,-,-,-,-,-
 -> GLOBUSA -> GLOBACC1,GLOBACC1,-,-,-,-,-,-,-,-,-
-,-,V20,XBT/USD,300,300,7907.46,8900,-,297762,-
 -> ECOP00,-,-,-,-,-,-,-,-,-,-
 -> ECOP00 -> ACCOUNT1,ACCOUNT1,-,-,-,-,-,-,-,-,-
-,-,X20,XBT/USD,-,-,7907.91,-,-,-,-
