Execution Time,Side,Contract,Status,Qty,Execution Price,Notional,Exchange Fees,Trade ID,Order ID,Account,Firm,User
10-15-20 - 3:08:10 PM,Buy,SWP-XBT-USD-V20,Open,10,6250,62500,62.5,"""20201015030008476""","""20201015030008474""",ACCT1110,F110,FF10TRAD
10-06-20 - 3:34:34 PM,Sell,SWP-XBT-USD-V20,Open,100,6200,620000,620,"""20201006030009097""","""20201006030009095""",ACCT1110,F110,FF10TRAD
10-06-20 - 3:34:17 PM,Sell,SWP-XBT-USD-V20,Open,100,6200,620000,620,"""20201006030009073""","""20201006030009071""",ACCT1110,F110,FF10TRAD
10-06-20 - 3:34:05 PM,Sell,SWP-XBT-USD-V20,Open,100,6200,620000,620,"""20201006030009057""","""20201006030009055""",ACCT1110,F110,FF10TRAD
10-06-20 - 3:33:23 PM,Sell,SWP-XBT-USD-V20,Open,300,6200,1860000,1860,"""20201006030009029""","""20201006030009027""",ACCT1110,F110,FF10TRAD
10-06-20 - 2:45:35 PM,Buy,SWP-XBT-USD-V20,Open,800,6250,5000000,5000,"""20201006030008602""","""20201006030008600""",ACCT1110,F110,FF10TRAD
10-06-20 - 2:30:28 PM,Buy,SWP-XBT-USD-V20,Open,10,6150,61500,61.5,"""20201006030008454""","""20201006030008452""",ACCT1110,F110,FF10TRAD
10-06-20 - 10:57:49 AM,Sell,SWP-XBT-USD-V20,Open,10,6500,65000,65,"""20201006030006630""","""20201006030006594""",ACCT1110,F110,FF10TRAD
10-06-20 - 10:19:19 AM,Sell,SWP-XBT-USD-V20,Open,5,1250,6250,6.25,"""20201006030006104""","""20201006030006102""",ACCT1110,F110,FF10TRAD
10-01-20 - 11:31:59 AM,Buy,SWP-XBT-USD-V20,Open,100,9900,990000,990,"""20201001150001004""","""20201001150001002""",ACCT1110,F110,FF10TRAD
10-01-20 - 11:31:06 AM,Buy,SWP-XBT-USD-V20,Open,100,9900,990000,990,"""20201001150000975""","""20201001150000973""",ACCT1110,F110,FF10TRAD
09-16-20 - 4:14:40 PM,Buy,SWP-XBT-USD-V20,-,10,8903.83,89038.3,89.04,"""20200916200070731""","""20200916200070729""",ACCT1110,F110,U5110
09-16-20 - 4:09:24 PM,Sell,SWP-XBT-USD-V20,-,10,8898.72,88987.2,88.99,"""20200916200053492""","""20200916200053490""",ACCT1110,F110,U5110
09-16-20 - 4:06:59 PM,Sell,SWP-XBT-USD-V20,-,10,8899.67,88996.7,89,"""20200916200041871""","""20200916200041869""",ACCT1110,F110,U5110
09-16-20 - 3:58:15 PM,Buy,SWP-XBT-USD-V20,-,10,8900.65,89006.5,89.01,"""20200916200012923""","""20200916200012921""",ACCT1110,F110,U5110
09-16-20 - 3:39:49 PM,Buy,SWP-XBT-USD-V20,-,5,8900,44500,44.5,"""20200916200000539""","""20200916200000537""",ACCT1110,F110,U5110
09-11-20 - 3:06:00 PM,Buy,SWP-XBT-USD-V20,-,15,9740.3,146104.5,146.1,"""20200911030029388""","""20200911030029385""",ACCT1110,F110,U5110
09-11-20 - 3:06:00 PM,Buy,SWP-XBT-USD-V20,-,10,9739.85,97398.5,97.4,"""20200911030029387""","""20200911030029385""",ACCT1110,F110,U5110
09-11-20 - 3:05:46 PM,Sell,SWP-XBT-USD-V20,-,15,9738.56,146078.4,146.08,"""20200911030028937""","""20200911030028895""",ACCT1110,F110,U5110
09-11-20 - 3:05:46 PM,Sell,SWP-XBT-USD-V20,-,20,9739.14,194782.8,194.78,"""20200911030028897""","""20200911030028895""",ACCT1110,F110,U5110
08-13-20 - 1:45:33 PM,Buy,SWP-XBT-USD-V20,-,15,"10,469.00","157,035.00",157.04,2.02008E+16,2.02008E+16,ACCT1110,F110,U5110
08-13-20 - 1:45:33 PM,Buy,SWP-XBT-USD-V20,-,15,"10,469.13","157,036.95",157.04,2.02008E+16,2.02008E+16,ACCT1110,F110,U5110
08-05-20 - 11:59:15 AM,Sell,SWP-XBT-USD-V20,-,15,"10,598.66","158,979.90",158.98,2.02008E+16,2.02008E+16,ACCT1110,F110,U5110
08-05-20 - 11:59:15 AM,Sell,SWP-XBT-USD-V20,-,15,"10,598.66","158,979.90",158.98,2.02008E+16,2.02008E+16,ACCT1110,F110,U5110
08-05-20 - 9:23:27 AM,Buy,SWP-XBT-USD-V20,-,10,"10,608.66","106,086.60",106.09,2.02008E+16,2.02008E+16,ACCT1110,F110,U5110
08-05-20 - 9:23:27 AM,Buy,SWP-XBT-USD-V20,-,10,"10,608.66","106,086.60",106.09,2.02008E+16,2.02008E+16,ACCT1110,F110,U5110
08-05-20 - 9:23:27 AM,Buy,SWP-XBT-USD-V20,-,15,"10,608.66","159,129.90",159.13,2.02008E+16,2.02008E+16,ACCT1110,F110,U5110
